NRIC,researcher_name,sector,salary,degree
G1876101W,Hazel Russell,Agricultural,5511,Bachelors
F5532075B,John Charpentier,Agricultural,5944,Bachelors
F3143928I,Tony Throop,Agricultural,7644,Bachelors
S8378164B,Katrina Roundy,Healthcare,5238,Masters
T9532384E,Tiffany Higgins,Agricultural,11110,PhD
F7149341X,Vera Lai,Agricultural,9255,Post-grad
S2223493X,Deborah Mallen,Agricultural,5203,Non-degree
S2084876P,Veronica Brice,Aerospace,4762,Masters
F3448826P,Lauren Sayers,Engineering,5721,PhD
G2089914R,Christine Dawkins,Healthcare,11869,Non-degree
S0322654R,Marcie Smith,Aerospace,5561,Non-degree
G9216219G,Patrick Sheeran,Agricultural,7163,Bachelors
T6945093W,David Brinkhaus,Aerospace,9120,Masters
F8711225F,Sophia Smith,Agricultural,10670,Non-degree
T6048813G,Lonnie Delisle,Engineering,11534,Post-grad
S9540543M,Tracy Gomes,Aerospace,7923,Bachelors
F9957903J,Carl Bell,Engineering,10973,Post-grad
T4040192U,Lisa Batten,Engineering,4429,Post-grad
F3013749T,Melissa Goodwin,Aerospace,11055,Masters
G5565205K,Dale Logsdon,Engineering,4826,Non-degree
T5973519C,Matthew Delgado,Healthcare,5501,Masters
S3766702A,Marie Carey,Agricultural,11908,Bachelors
T6567231T,Eliza Jones,Engineering,7469,Non-degree
G9196576P,Maxine Wilson,Aerospace,6094,PhD
G1349620L,Angela Na,Engineering,8894,Post-grad
T9550586G,Kelly Mayer,Healthcare,10469,Non-degree
G1564709W,Donald Quinn,Agricultural,9432,Post-grad
S5613998D,Ricky Tolbert,Agricultural,7060,PhD
T9135241Z,Jarred Miles,Agricultural,4955,Post-grad
S9165454F,Joseph Petit,Agricultural,5380,Post-grad
S2235106G,Anna Laskowski,Engineering,8411,Non-degree
T1439199P,Jana Guild,Engineering,8687,Non-degree
F5907523R,Philip Bryan,Agricultural,10405,Masters
S8715173I,Henry Warren,Engineering,4390,Bachelors
S3969779P,Daniel Shorr,Engineering,9672,Non-degree
F9888825K,Freeman Brown,Aerospace,9709,Bachelors
T0874158Q,Fred Pittman,Healthcare,7724,Bachelors
G8925776D,Michael Hawks,Healthcare,10145,Masters
T5783250Y,Rachel Condrey,Healthcare,4616,Masters
G9299087O,Louise Natividad,Engineering,5736,Post-grad
F6762521U,Mary Hendrickson,Engineering,7407,Masters
T9298334G,Donna Villa,Agricultural,10287,Non-degree
S8492853H,John Sellers,Engineering,11241,Masters
S6151688V,Thomas Crawley,Healthcare,11803,Post-grad
T1456405D,Richard Faulkner,Agricultural,4299,Non-degree
F0057742F,James Barger,Engineering,11938,Masters
T1767782X,Terry Boyd,Healthcare,11821,Bachelors
T9489120H,Lorraine Lara,Healthcare,7128,Non-degree
F2432719B,Donald Markarian,Engineering,6959,Post-grad
F9394077G,Lois Newsome,Aerospace,9054,Non-degree
T0618566S,Chelsie Forest,Healthcare,4801,Bachelors
G1846928F,Helen George,Aerospace,5308,Bachelors
S5132151G,Sue Mclead,Agricultural,5092,Masters
F2196150L,Anthony Ford,Aerospace,4420,PhD
G6803468M,Sharon Shevlin,Healthcare,8188,PhD
S6904430A,Bella Cuneo,Agricultural,6847,Masters
S5526938P,Thomas Kong,Agricultural,10212,Masters
F2302270E,Deborah Fedele,Engineering,6093,Masters
T6871116Y,Bruce Christy,Aerospace,4708,Bachelors
T1224934G,Jeffrey Burns,Agricultural,4825,PhD
G6336266D,Kim Stanley,Aerospace,11414,Non-degree
T1583331S,Kathleen Williams,Aerospace,6788,PhD
G3372707Y,Kimberly Little,Aerospace,5944,Bachelors
T6945773C,Raymond Alicea,Engineering,5779,Post-grad
G7348984L,Melissa Walker,Agricultural,9587,Post-grad
S0458880F,John Floresca,Healthcare,10051,Masters
F0343416I,Terry White,Agricultural,7949,Masters
S7899475O,Carroll Rice,Healthcare,9139,Masters
G1898544R,Thomas Atkins,Healthcare,9821,Masters
T2912723S,Betty Flores,Aerospace,7815,Masters
G0321650Q,Jeffrey Ruth,Engineering,11195,Non-degree
F7398414R,Kenneth Johnson,Engineering,10472,Bachelors
T1256349T,Ann Carlton,Agricultural,6965,Non-degree
G1027406Q,Jerry Ryan,Agricultural,6816,Post-grad
S6491682Z,Elizabeth Brown,Engineering,6397,Masters
T2265498K,Steven Favreau,Healthcare,4334,Masters
T5530791U,Joseph Oleson,Agricultural,10003,Non-degree
G9170235P,Carl Combs,Healthcare,5158,Non-degree
G4712751F,John Alexander,Aerospace,8838,Bachelors
G0266393C,Ethel Byers,Agricultural,9498,Masters
F4299929U,Shona Cave,Healthcare,8147,Post-grad
F5942492Y,Irene Zigler,Aerospace,5168,Bachelors
S7703850E,Trina Sheth,Engineering,11551,Masters
G1369493A,John Greene,Healthcare,5251,Masters
S2389242Q,Travis Abramek,Healthcare,11397,Non-degree
G1033191J,Derek Steele,Healthcare,9962,Non-degree
T4349603M,Edward Henson,Aerospace,6331,Masters
G3174242K,Sandra Garcia,Aerospace,7577,Post-grad
T3650165X,Lupe Capps,Healthcare,11708,Non-degree
F1502917Y,Lelia Jackson,Aerospace,4147,Post-grad
G3313090L,Ronald Smith,Aerospace,9471,Masters
S3644762Q,Michele Oskins,Agricultural,9258,Masters
T2265825G,Jerry Brooks,Agricultural,11536,Non-degree
T4143839J,David Gomez,Agricultural,10764,PhD
S6916717D,Janice Stulce,Aerospace,5661,Post-grad
F5635053W,June Spellacy,Agricultural,8824,Non-degree
F3693289Q,Irene Ritz,Engineering,4616,Non-degree
T9980736N,Brittany Klett,Agricultural,9889,PhD
S1380720J,Joan Schnader,Healthcare,5492,Post-grad
S2120817B,Marsha Kimbrough,Engineering,11779,Masters
T8025104J,Debbie Bovee,Agricultural,11146,Masters
F2221730O,Charles Santos,Agricultural,8405,Post-grad
S8476072J,Virginia Wade,Aerospace,11172,Non-degree
T3344646Q,Wayne Santiago,Healthcare,6054,PhD
S0055841R,Shane Fields,Agricultural,4654,PhD
T2286807B,Oscar Arant,Aerospace,10264,Bachelors
T5845492B,Eva Pitts,Aerospace,11406,Masters
F8232554G,Linda Evans,Agricultural,8862,Post-grad
T3422927P,Walter Crockett,Aerospace,6320,Masters
T8572050E,Eric Burns,Healthcare,10780,PhD
S4754119D,Ronald Hudley,Engineering,9613,PhD
G4352388B,Aida Orouke,Engineering,10457,PhD
S5009296X,Elsa Knapchuck,Healthcare,11704,PhD
F7754896O,Anita Ricker,Engineering,5959,Bachelors
F0931877C,Michelle Kidd,Agricultural,11493,Non-degree
G2863724H,Alma Spicer,Agricultural,7505,Non-degree
F5464739V,Tonya Sumbry,Healthcare,10163,Masters
G5471303U,Kassandra Konty,Aerospace,9802,Post-grad
F7714154Q,Oren Hampton,Engineering,9700,Bachelors
T4275771N,Barbara Shahan,Aerospace,11927,Post-grad
S7909389Y,Victor Cruz,Engineering,10719,Post-grad
T6479297L,Richard Fernandez,Aerospace,7047,Masters
G7513569U,Randy Hackett,Agricultural,5284,PhD
T1712612V,Efrain Devalle,Healthcare,7616,Masters
F7166307I,Vivian Hacker,Aerospace,7700,Post-grad
G8607065Y,Mark Swanner,Healthcare,6680,PhD
F5474200V,Frederick Leon,Agricultural,11330,Bachelors
F5014701V,Tyrone Carter,Aerospace,5496,PhD
T6218875G,Chad Pulido,Healthcare,7326,PhD
T7526803A,Norma Gomez,Aerospace,5155,Post-grad
G3093687D,Destiny Larocca,Engineering,7473,Bachelors
F7688986K,Leopoldo Mcculla,Agricultural,10640,Bachelors
T9246325I,Mark Kallevig,Agricultural,8189,Bachelors
S4217256E,Ta Zimmerman,Engineering,4464,Post-grad
G8415096Y,Jamie Brewer,Engineering,5640,Masters
F8756739M,Rhea Huynh,Agricultural,4144,Bachelors
F9100258I,Francisco Frasure,Agricultural,10134,Masters
S7041866Z,Julie Mccormick,Aerospace,9580,PhD
F8666951B,Toni Hart,Aerospace,10404,Bachelors
S4710677W,Charlotte Bennett,Engineering,9638,Bachelors
G0796019E,Nora Adams,Engineering,10540,Non-degree
G8111551H,Jon Luksa,Engineering,8708,Post-grad
G0479311P,Joseph Baggett,Agricultural,9858,Post-grad
G0046146W,Tammie Moreno,Aerospace,10603,Post-grad
F7608637F,Robert Robinson,Agricultural,11936,Bachelors
T5421264L,Gregory Kaplan,Engineering,11028,PhD
S0351814F,Clayton Jenkins,Engineering,8872,PhD
F6374176T,Paul Berry,Engineering,9905,Masters
S9829185S,Peggy Malone,Aerospace,5040,Bachelors
G8386432J,Ruby Soriano,Healthcare,6237,Bachelors
F5715584U,George Prochaska,Aerospace,8344,Masters
G9249829J,Phyllis Rademacher,Agricultural,10674,Bachelors
G2785588Q,Bethany Bayless,Aerospace,11832,PhD
S0236115L,Harriett Wheelock,Aerospace,10878,Non-degree
T6801671T,Joseph Gamble,Agricultural,9420,PhD
S6477246X,Larry Gonzalez,Engineering,11217,Post-grad
T7669199W,Kenneth Bull,Agricultural,10633,Masters
F3001401N,Guy Hickman,Aerospace,11186,Bachelors
T7936019O,Victor Price,Healthcare,6561,Non-degree
T8284943B,Alonzo Pough,Healthcare,9362,Non-degree
T0907442T,George Limon,Healthcare,7759,Bachelors
T9487421L,Mabel Goldberg,Healthcare,5132,Bachelors
T5208150C,Keith Duran,Agricultural,5086,Bachelors
G3719533G,Dorethea May,Healthcare,8040,PhD
G3258490U,Elizabeth Hosley,Agricultural,11616,Masters
S9492428S,Alejandro Persing,Aerospace,11254,Post-grad
F9252760I,Louis Reames,Healthcare,4489,Masters
S6424011C,Veronica Ward,Aerospace,10388,PhD
S6978339J,Marcella Johnson,Engineering,10464,PhD
T9617626Q,Mark Begay,Agricultural,10482,Non-degree
T2896956W,Ronald Bullock,Agricultural,6477,PhD
G8905157P,Melissa Macias,Aerospace,9574,PhD
G7629613S,Geralyn Haddix,Engineering,7128,Masters
F6263122N,Arturo Perotti,Agricultural,11160,Masters
S3953200K,Susan Flores,Agricultural,8462,Post-grad
T2681942A,Tawana Hill,Engineering,4725,PhD
G6543327X,Dana Kasahara,Agricultural,6449,PhD
T2739143Y,Janet Bowen,Aerospace,4233,Post-grad
F1827482F,George Roberts,Aerospace,10657,Masters
S7790841P,Daniel Feldman,Aerospace,7647,Non-degree
G0578833K,Kathleen Tucker,Agricultural,10132,Non-degree
F4726330J,Eric Cantrell,Engineering,9913,PhD
S9350144H,Leah Hickernell,Agricultural,9636,Non-degree
T8762606V,John Hooper,Agricultural,9290,Post-grad
S3088517S,Daniel James,Healthcare,11333,PhD
S4902810F,Laura Mckay,Engineering,5842,Non-degree
T3202890I,Lisa Crites,Healthcare,6341,Masters
S2868928W,Cory Smith,Healthcare,5722,Non-degree
T8895003W,Joy Larson,Healthcare,5470,Masters
F6985599W,Kandi Pitcak,Aerospace,11045,PhD
F7369700R,Joseph Herring,Healthcare,9775,PhD
T5377002Z,Mark Baldwin,Healthcare,8297,PhD
F4331811O,Tim Longoria,Engineering,9542,Non-degree
F5026856V,Danielle Gutshall,Agricultural,4732,Bachelors
G5150104A,Rudolph Howdeshell,Healthcare,8922,Non-degree
S4568578B,Betty Lyons,Agricultural,9750,PhD
S4912572H,Stuart Falvo,Healthcare,6583,Post-grad
G4431738X,Virginia Rankin,Engineering,8990,Non-degree
S2370274X,Jared Rapa,Agricultural,11632,PhD
G4188223Y,Larry Layel,Healthcare,6164,Post-grad
G6657341D,Angel Kellogg,Agricultural,10751,Post-grad
S7530281N,Bertram Briscoe,Healthcare,8528,Bachelors
T3411484M,Aileen Temples,Agricultural,9355,Bachelors
S0634758Z,Heather Hall,Healthcare,7062,PhD
G3346170Q,Jordan Bradley,Engineering,11419,Bachelors
T8411800G,Darryl Freel,Engineering,4138,Masters
S6387016H,Thomas Chapman,Healthcare,11057,PhD
F1429182O,Dan Rasmussen,Healthcare,6545,Non-degree
S6259185G,Alice Johnson,Engineering,6825,Non-degree
T1848262W,Rachel Wynne,Agricultural,5754,Post-grad
T6944921B,Efrain Hernandez,Engineering,4615,Bachelors
T8963399L,Sheila Thomas,Aerospace,7766,PhD
F1981727Z,Deborah Aguilar,Aerospace,9164,Masters
G9113598V,Steve Ward,Agricultural,6217,PhD
G4730011W,Ronald Ettinger,Aerospace,8264,Masters
T0719107M,Paul Soriano,Engineering,4812,Post-grad
T0455577R,Eric Newkirk,Aerospace,5442,Masters
G0156390A,Marion White,Agricultural,6499,Masters
T5355396K,Deborah Latham,Healthcare,6682,Post-grad
G2838175N,Milton Mayes,Healthcare,8135,PhD
F9648613Q,Toshiko Scerbo,Engineering,10791,Post-grad
T6820145B,Brandi Jones,Agricultural,11041,Bachelors
F0450737W,Lynn Jones,Healthcare,10490,Post-grad
S2501322C,Elizabeth Edwards,Agricultural,11193,PhD
S0603190I,Francis Steele,Agricultural,4775,Masters
F3096590Y,Iva Shope,Healthcare,9435,PhD
G7486455Q,William Smith,Agricultural,8861,Masters
S2445921A,Gina Huh,Aerospace,8017,Post-grad
T1173896U,Merlyn Shuford,Engineering,6356,Bachelors
T7613549W,Melvin Mccann,Healthcare,6805,Masters
G0371542R,Alfred Mrowka,Aerospace,6727,PhD
F2076964J,John Vanausdal,Engineering,8829,PhD
G9969422F,Cynthia Lopez,Agricultural,11073,Non-degree
T3772631C,Sarah Kamerling,Engineering,7389,PhD
S2696566H,Patricia Bradley,Healthcare,4322,Masters
G0322959V,Alice Sims,Engineering,4613,Post-grad
S3194142G,Michael Lewis,Agricultural,5857,Bachelors
F1670691J,Julie Rapp,Engineering,4189,Bachelors
T7621800C,Rita Medina,Engineering,11796,Bachelors
S1285149G,George Claypool,Agricultural,5424,Post-grad
T2386040T,Janice Gordon,Healthcare,5503,PhD
S1168391Q,Manuel Lang,Aerospace,9604,Non-degree
S7363827T,Jeff Reed,Aerospace,6974,Post-grad
G8135841K,Scott Muddaththir,Agricultural,8462,Post-grad
S9895613L,Shelia Berber,Engineering,6196,Post-grad
G0777066R,Anthony Watson,Engineering,9517,Post-grad
F2739588P,Mark Green,Engineering,8556,Bachelors
G7129675L,Wesley Mcneil,Engineering,6186,Non-degree
F3335169A,Frank Campbell,Healthcare,5567,Bachelors
G5030583F,Connie Guerrero,Aerospace,9230,PhD
T2639270V,Michele Gulley,Healthcare,6593,PhD
G7782875L,Marcus Mutchler,Healthcare,9798,Non-degree
S9616059F,Dolores Brannon,Aerospace,9805,Post-grad
F1853742W,Eric Perl,Engineering,7040,Post-grad
G4739041F,Kate Baker,Healthcare,11127,Masters
T0558769M,Tony Mcmillan,Healthcare,8877,Post-grad
G8148387D,Tracy Fulmer,Aerospace,6035,Non-degree
T4674634L,Curtis Luna,Agricultural,7717,Bachelors
T4914033T,Rosa Auzenne,Engineering,8632,Bachelors
S5041048J,Keith Dagostino,Aerospace,11511,Masters
F4697958P,Richard Jobe,Agricultural,4184,Non-degree
G1163010D,Tracy Trowbridge,Engineering,6145,Post-grad
S3038335W,Nicole Rebuck,Aerospace,8974,Non-degree
T3088041J,Wayne Anderson,Engineering,9479,Bachelors
S8739808H,Richard Leggett,Healthcare,7557,Post-grad
F3021882R,Arthur Ackerson,Aerospace,10000,Non-degree
T2931647Q,Carl Griffin,Healthcare,5911,PhD
G9361905V,Anita Azar,Aerospace,10375,Post-grad
T1227603G,Arlene Knudtson,Healthcare,4944,Post-grad
G9675982S,Jane Mcmahon,Healthcare,11127,Post-grad
G3992782K,Anamaria Cichon,Healthcare,10637,Masters
F4451126E,Timothy Sims,Engineering,8734,Post-grad
T5305751D,John Duppstadt,Aerospace,7798,Post-grad
G6013277D,Byron Lynch,Healthcare,4489,Non-degree
S2624510Q,Rachel Rutledge,Engineering,4483,PhD
T4271137B,Eric Allen,Agricultural,11704,Bachelors
T9434304I,Helen Dore,Healthcare,9464,Non-degree
T5638531X,Robert Segarra,Healthcare,9314,Post-grad
G2428587O,Denise Jeffords,Healthcare,7541,Bachelors
T3894536M,Joseph Yeager,Healthcare,10525,Bachelors
F4029419C,Beth Hall,Aerospace,4685,Non-degree
S2791779T,Pamela Porter,Healthcare,9895,Bachelors
F4716048B,Melissa Smith,Healthcare,8276,Bachelors
G7061481O,Richard Watson,Engineering,8029,Post-grad
S1161873C,Brittany Garnick,Aerospace,8250,Non-degree
G9326596S,Pamela Gifford,Healthcare,7398,Non-degree
T7124064Z,William Carpenter,Aerospace,7571,Masters
T9523261B,Lawrence Mahoney,Agricultural,10748,Post-grad
F7611564K,Charles Lassiter,Engineering,10859,PhD
T2261144E,Raymond Kelly,Agricultural,9005,Non-degree
S4472139C,Nathaniel Baker,Engineering,5956,Non-degree
T8557228O,James Reinmann,Healthcare,10293,Non-degree
F8225321Z,Tyrone Dorazio,Aerospace,7564,Bachelors
S6711333N,Roberta Wood,Aerospace,9964,Non-degree
F1805916B,James Stalling,Aerospace,6737,Non-degree
T8790397U,Carlene Shanholtzer,Aerospace,5215,Bachelors
F3937584O,Willie Phipps,Agricultural,11122,Post-grad
G0962334Y,Donald Mccain,Engineering,7860,Bachelors
T0870871H,Howard Jones,Agricultural,6172,Non-degree
F5770044Q,Charles Kirksey,Healthcare,9576,Non-degree
S2889193H,Matthew Mcsween,Healthcare,5234,Masters
F5772781I,Luciano Jackson,Agricultural,4226,Post-grad
S3569466W,Margaret Melton,Engineering,11206,PhD
T0789890E,Donna Troy,Engineering,7071,Non-degree
T4670778Q,Ona Maldonado,Aerospace,6740,Masters
T3995777H,Mark Foster,Aerospace,5517,Masters
S0269380K,Esther Snider,Healthcare,4627,Bachelors
F1037226W,Marlene Hayes,Engineering,4507,Bachelors
S7677617Q,Michael Rowe,Engineering,10364,PhD
F7800879B,Bryan Bozarth,Agricultural,6652,Non-degree
G1129813M,Denise Tamburri,Engineering,8165,Non-degree
G5364306U,Crystal Piper,Engineering,8477,Bachelors
S9303446D,Morton Larrivee,Engineering,6079,PhD
F9486482E,Margaret Kym,Healthcare,6895,PhD
F7549704A,Herman Bodner,Aerospace,4909,Post-grad
S9731330H,Eddie Sickafoose,Healthcare,9947,Masters
T0629920H,James Holleman,Aerospace,8144,Masters
S4567607P,William Davis,Agricultural,5331,Bachelors
G2604825X,Deborah Martin,Engineering,8424,Masters
F8071390N,Lisa Clary,Agricultural,8393,Non-degree
T5732008Y,Alma Caldwell,Engineering,6172,Post-grad
G8335717V,Barry Brown,Aerospace,9275,Bachelors
S7997300D,Justin Johnson,Healthcare,9048,PhD
G9528951F,Danilo Palmer,Engineering,7192,Post-grad
T0584743D,Terry Neely,Agricultural,7502,Bachelors
G3161068B,Sarah Torre,Engineering,7013,Bachelors
G7773696D,Aaron Hamlett,Healthcare,4508,Bachelors
S6238648M,Ann Berkowitz,Agricultural,11107,PhD
F3383540D,Gabriel Perretta,Engineering,9966,Bachelors
G9358598B,Wendell Soderberg,Aerospace,11192,Masters
T8847288U,Liliana Guzman,Healthcare,6414,Bachelors
G8698578R,Ryan Mccann,Healthcare,5495,Post-grad
S8150043S,Anna Cass,Healthcare,7592,Post-grad
S2923889Q,Dorothy Huntzinger,Engineering,9986,Post-grad
S1311463I,Willie Loiselle,Healthcare,5941,Bachelors
G6256500A,Aaron Brown,Healthcare,10509,PhD
F0163755B,William Tudor,Healthcare,11122,Non-degree
S5958799C,Andrew Ogle,Agricultural,10363,PhD
T2885615L,Michael Cook,Healthcare,6792,Bachelors
G9164157G,James Helms,Agricultural,4410,Non-degree
G0080706B,Timothy Wilson,Engineering,9185,Masters
S9387020M,Alexander Brace,Engineering,4026,Masters
S6557745I,Mervin Garrett,Agricultural,8084,Post-grad
S2556426Z,Courtney Giraldo,Agricultural,11802,Post-grad
G3626591U,Clinton Smith,Engineering,8855,Post-grad
F8435388X,Fred Lusby,Healthcare,10145,Bachelors
F3057951X,Annie Aguilar,Engineering,7213,Masters
T8255486O,Dawn Snodgrass,Aerospace,5188,Masters
G4667919Q,George Adam,Engineering,6896,Non-degree
S7823903V,Michael Curlee,Engineering,4179,PhD
G5035240R,William Wood,Aerospace,7904,PhD
T9679024B,John Dennis,Engineering,9540,Bachelors
T7958183X,Johnny Conner,Healthcare,9227,Bachelors
F5229506X,Florine Garza,Engineering,5856,Masters
F6590761A,Frederick Rodgers,Engineering,4789,Non-degree
T2974525W,Barbara Straw,Engineering,10616,PhD
F7766711Y,Armando Solomon,Engineering,4537,PhD
T8218029N,Mildred Shilt,Agricultural,10640,Non-degree
T1535686J,James Liddy,Agricultural,6592,Post-grad
F5093789L,Curtis Johnson,Aerospace,11046,Masters
F3799774J,Melvin Daise,Healthcare,6103,Post-grad
G7736419D,Alice Massey,Engineering,6904,Non-degree
S4092261V,Betty Anderson,Engineering,5094,Bachelors
F7878021V,Jane Frasher,Healthcare,9236,Non-degree
G9405975S,Nichole Bowens,Engineering,11903,Non-degree
S0560173C,Avis Louthan,Engineering,9185,Post-grad
S6041608X,Virgil Burgess,Agricultural,4812,Bachelors
T1514956P,Ward Cauffman,Healthcare,11339,Bachelors
S2824754Z,Marion Oneal,Aerospace,5712,Masters
G7325799C,Leo Stines,Aerospace,5254,Masters
G9664331H,Dora Steinberg,Agricultural,7818,Post-grad
G4218282L,Lillian Delacruz,Aerospace,6109,PhD
F4448312T,Estelle Filley,Healthcare,7758,Masters
T0267487Z,Henry Green,Engineering,4457,Non-degree
S4465953T,Esperanza Zwagerman,Healthcare,4427,Bachelors
S3815638F,Gladys Hammer,Aerospace,7231,PhD
S8294603E,Peter Oneill,Healthcare,4015,PhD
G1522195O,Hazel Carr,Healthcare,7896,Non-degree
G4309675F,Michael Smith,Aerospace,6929,Masters
F7177689A,Eric Broberg,Engineering,9209,PhD
F2837446W,Garrett Brice,Aerospace,11324,Post-grad
G1538277B,Tommy Rotz,Healthcare,11954,Non-degree
G3802109B,Jacob Placha,Healthcare,5183,Bachelors
G6686488B,Lewis Trew,Healthcare,6852,PhD
S5674576P,Bernard Powell,Engineering,9871,Bachelors
T7233950K,Maria Branch,Healthcare,8338,Post-grad
S6038150K,Faye Downing,Aerospace,11559,Masters
G0385098Q,Stephen Summers,Aerospace,6334,Masters
S7901167Q,Marco Song,Engineering,7560,Masters
F2859015U,Randy Replogle,Agricultural,11511,Non-degree
S7080207B,Brenda Jones,Agricultural,5486,Non-degree
T2895479H,Tanja Cruz,Agricultural,10922,PhD
T6614139K,Helen Deldonno,Agricultural,8430,PhD
F4265932K,Janice Moore,Aerospace,9400,Post-grad
T6894291E,Luz Gibbs,Agricultural,4420,Non-degree
S8044646M,Linda Ulrich,Healthcare,7834,Bachelors
T8436572L,Elsie Smith,Aerospace,9311,Bachelors
F2890719J,Richard Barbagallo,Agricultural,5859,Bachelors
S9730920C,Steven Lindquist,Aerospace,7355,PhD
G2006350G,David Anderson,Engineering,8790,PhD
T4942484D,Antonio Soapes,Aerospace,11567,Post-grad
G8111614K,Carolyn Louden,Healthcare,9696,Bachelors
T8803597I,Marva Giordano,Engineering,11480,PhD
S5191942O,Jack Morrison,Healthcare,11930,Post-grad
T0244173Q,Richard Charles,Engineering,9613,Masters
S8249714F,Annette Carignan,Aerospace,11594,Masters
F8581400O,Ernest Kelly,Engineering,10148,PhD
T4245354I,John Barron,Agricultural,7584,PhD
S9261754L,Joel Herrera,Healthcare,6802,Post-grad
F0208117Y,Timothy Frost,Agricultural,10119,PhD
T3380735V,Donald Burch,Healthcare,6820,Non-degree
F0338003D,Mark Dowd,Agricultural,6641,Non-degree
G6188972E,Joshua Vereen,Healthcare,9559,Bachelors
S5761946Z,Isaac Joe,Agricultural,4785,Post-grad
G1513215G,Carlos Buck,Engineering,9884,Post-grad
T6074366G,Rachael Gunnerson,Engineering,5889,Masters
S7123209I,Lakeisha Langham,Aerospace,9055,Bachelors
F8009599S,Patricia Singh,Healthcare,7731,Post-grad
S8804307O,Ana Hayes,Engineering,6185,Non-degree
G3883419M,Robert Lacomb,Healthcare,9509,Non-degree
T7163844R,Deborah Mccabe,Agricultural,4360,Post-grad
F3931240Q,Phyllis Gleen,Agricultural,5298,Masters
T6030700K,Sophia Shriver,Aerospace,9181,Post-grad
G8488743Q,Debra Hoffman,Healthcare,8815,Bachelors
G2682482O,Ethel English,Aerospace,7833,Non-degree
T6080814M,Sadie Lucero,Agricultural,10767,Non-degree
F5255868U,Sherry Nance,Aerospace,11577,Non-degree
S6007167H,Arthur Guthrie,Agricultural,4068,Post-grad
T3145126X,Evelyn Reed,Agricultural,7425,PhD
S0394422G,David Velasquez,Agricultural,6288,Post-grad
T2304079R,Katherine Vega,Aerospace,8775,Masters
S8939656E,Chase Kelleher,Aerospace,6120,Non-degree
F0187231N,Ted Logsdon,Engineering,6084,Post-grad
G3947250T,Keith Jackson,Agricultural,4443,Bachelors
F1064524E,Jolie Flores,Engineering,7670,Post-grad
T7456023G,Frances Sutton,Engineering,6195,Bachelors
G3010144L,William Levites,Aerospace,4154,Bachelors
S0955301X,Celina Grimes,Healthcare,9594,Non-degree
G3813996T,Betty Pough,Agricultural,4013,Bachelors
F9855872B,James Bullock,Healthcare,10573,PhD
T2560429J,Marilyn Novotny,Engineering,10007,Non-degree
G2626582T,Derek Thomas,Aerospace,4753,Post-grad
F2188128Y,Lois Shoe,Engineering,4819,Post-grad
S0580655T,Kristi Tardiff,Aerospace,8038,Post-grad
F8665650C,Margaret Brawner,Agricultural,5833,PhD
G9569190O,Michael Cole,Aerospace,9795,PhD
S1116162Y,Charles Steward,Engineering,9197,Masters
F7056420W,Henry Booth,Engineering,4742,Bachelors
