NRIC,researcher_name,sector,salary,degree
T0932298O,Dena Lasiter,Engineering,13006,Bachelors
F6855825H,Sylvia Maas,Agricultural,13704,Masters
G3551922E,Doris Kelly,Aerospace,3341,Non-degree
S5375560P,Jim Harvey,Engineering,10014,PhD
T6713749D,Seth Lusk,Healthcare,13140,Bachelors
F2315150M,Sandra Pope,Agricultural,3845,Masters
S6025531J,Joel Reyes,Aerospace,14543,PhD
F4398428J,Lynne Harris,Agricultural,14217,PhD
G3986786R,Carolyn Noonan,Aerospace,8396,Non-degree
G5507927G,Bonnie Abraham,Engineering,11343,Post-grad
F8721016H,Walter Smith,Agricultural,9621,Bachelors
G2906013A,William Martinez,Engineering,13225,Masters
T2963614S,Stephen Brady,Healthcare,12966,Non-degree
G0379135B,Elizabeth Waller,Agricultural,10955,Post-grad
G0612515Q,Ralph Wadsworth,Agricultural,7303,Post-grad
G2186562U,Molly Jones,Healthcare,4300,Post-grad
G4917482V,Mary Rogers,Healthcare,8540,Post-grad
G9798440F,Richard Gonzalez,Aerospace,8080,Bachelors
T8063014Z,Samuel Sayers,Engineering,7474,PhD
S8680505U,Robert Garcia,Engineering,5206,Bachelors
T3601613D,Kevin Williams,Engineering,3324,PhD
S7492904Y,Joseph Larson,Healthcare,11880,Post-grad
S9766923Z,Cornelius Sherwin,Agricultural,13870,Non-degree
F1163542D,Roy Turrie,Agricultural,10759,PhD
T4297379M,Diana Lopez,Healthcare,4045,Non-degree
S4538730T,Barbara Orr,Aerospace,5994,Masters
F6493021O,Linda Coombs,Aerospace,9868,Bachelors
T5694506N,Bonnie Jasso,Engineering,11022,Masters
G0978628C,Tabitha Reamer,Engineering,6952,PhD
G9186354R,David Amaker,Agricultural,9303,Masters
S7133803R,Patricia Bowers,Engineering,6061,Post-grad
G8181783S,Tiffany Mcreynolds,Aerospace,11834,PhD
G3096712Q,Christopher Powers,Aerospace,13585,Masters
F6708709W,David Oun,Healthcare,9311,Masters
G3061367J,Carlos Sander,Engineering,9154,Non-degree
G9262013F,Ronald Mckee,Aerospace,12897,Post-grad
G9775983T,Darlena Traficante,Aerospace,11145,Post-grad
F5051037H,Maria Duncan,Agricultural,5682,Masters
T4100556S,Debra Watson,Aerospace,10619,Non-degree
F5201245A,Robert Macias,Aerospace,10383,Non-degree
T0395948C,Jacob Venable,Aerospace,8708,Masters
S8876249B,Don Johnson,Engineering,10648,Masters
S4587553U,James Tanner,Aerospace,5306,Post-grad
T1403637G,Kimberly Longie,Aerospace,9801,PhD
F0641955A,Robin White,Aerospace,10783,PhD
T9404682B,Paul Johnson,Engineering,10092,PhD
G6398710L,Margaret Rodwell,Agricultural,13717,Post-grad
G8078227W,Francisco Leonard,Healthcare,3971,Non-degree
T4455282Q,Amy Davis,Engineering,5123,Post-grad
T1960931W,Joshua Witt,Healthcare,8630,Masters
T0451101O,Cameron Miller,Aerospace,5657,Bachelors
T1100147V,Sergio Kruse,Healthcare,6480,Masters
F6105690W,Karen Newman,Healthcare,6460,PhD
S3201419Q,Carol Hatfield,Aerospace,14855,Non-degree
F4135744M,Edith Wilson,Aerospace,14494,Bachelors
T8711080T,William Hoover,Healthcare,14747,Bachelors
F3591669E,Charles Kelley,Aerospace,14717,Masters
S1023531M,Mary Stephens,Engineering,8375,PhD
S1040128L,Debra Conover,Engineering,6298,Masters
T9307602W,Vance Daschofsky,Healthcare,3210,Post-grad
F6640939L,Helen Hendricks,Aerospace,14533,Bachelors
G5716569I,Gloria Barrett,Aerospace,4458,Masters
G7666042H,Laurie Parrigan,Aerospace,12147,Masters
S8216539S,Marlene Phillips,Engineering,8298,Masters
F6557542P,Kelly Andrade,Engineering,10608,Post-grad
T5370027Y,Gustavo Heinzen,Agricultural,8389,Non-degree
S0109004A,Matthew Trevino,Aerospace,10188,Post-grad
T5971019Q,Roxanne Vizcaino,Healthcare,3523,Non-degree
S0601247G,Myron Viles,Engineering,5634,Non-degree
G6672021L,Christopher Shipley,Aerospace,14883,Post-grad
S7956640H,David Scott,Engineering,11517,PhD
G2656170X,Brandon Hill,Engineering,6280,PhD
S3314930I,Jennifer Woods,Agricultural,8381,Bachelors
F7318658G,Shelia Gilmore,Aerospace,6236,Masters
T5541684P,Willie Vauters,Agricultural,7997,Bachelors
F2743993B,Robert Lopez,Aerospace,13175,Non-degree
S5102549B,Carlos Hirsch,Engineering,14221,Masters
F5773472F,Jennifer Colwell,Engineering,8076,Post-grad
S0942776Z,Gary Jackson,Healthcare,6665,Bachelors
T3195249A,Allison Ballard,Aerospace,6143,Non-degree
S2770482W,Ariel White,Engineering,12404,Masters
F1278101A,Thomas Simpson,Agricultural,10419,Post-grad
G3527358F,Brian Veve,Healthcare,7488,Masters
S9082318Y,Daniel Tiede,Agricultural,10961,PhD
G5999313O,Eric Melton,Engineering,9376,Post-grad
S2257462W,Thomas Schermann,Aerospace,14283,Masters
T6385962G,Marvin Sanders,Aerospace,4663,Post-grad
S4130399L,Saul Gonzalez,Engineering,7237,PhD
S3323941P,Ronald Moore,Aerospace,3571,Non-degree
T9298798Y,Ruben Hosford,Engineering,5063,Bachelors
S3942198Q,Viola Perez,Healthcare,6154,Bachelors
T0686628X,Christopher Bearfield,Healthcare,4774,Bachelors
T5081097Z,Joan Helmick,Healthcare,8752,Post-grad
F9545168L,John Marlor,Engineering,5280,Masters
T1608754V,Sondra Johnson,Engineering,3579,Post-grad
T9556260Z,Raymond Loiacono,Engineering,11630,Non-degree
S0618171N,Kelly Gilbert,Aerospace,7775,Non-degree
T7130678I,Rogelio Tennant,Agricultural,4484,PhD
G0686231S,Michael French,Engineering,7701,PhD
T9918467L,Diana Keylon,Aerospace,8860,Non-degree
S9035408Z,David Wiseman,Engineering,10725,PhD
S8899943A,Sandra Werts,Aerospace,12411,Bachelors
F8486420I,Sara Patterson,Healthcare,9854,Bachelors
S2250879A,Nettie Ramm,Aerospace,12187,PhD
G8156157P,Daniel Redman,Aerospace,14320,Bachelors
F5411901P,Jeffery Shore,Engineering,6998,PhD
S3264009K,William Aviles,Engineering,11564,Masters
S4424035C,Yvonne Wright,Agricultural,5970,PhD
S3457164E,Mickey Griffin,Healthcare,10169,Masters
F4387559N,Deborah Worm,Engineering,5011,Non-degree
T9440578Y,Marietta Solis,Healthcare,12016,Non-degree
F0089392Y,Della Misnick,Agricultural,7895,Non-degree
G1412337L,Ernest Harms,Healthcare,5934,Bachelors
F2285956R,Dianne Vigo,Agricultural,7427,Post-grad
S5723874N,Eunice Contreras,Agricultural,3749,PhD
G8878233A,Charles Jackson,Healthcare,4237,Bachelors
F5176718I,Luz Rivera,Aerospace,9078,PhD
G8613785M,Joan Frisina,Aerospace,4780,Non-degree
F7541248T,Melinda Ford,Engineering,7556,Bachelors
G9903278E,Sidney Morris,Agricultural,5870,Non-degree
S8876984W,Lena Lacey,Engineering,14603,PhD
F7546152T,Edgar Bledsoe,Agricultural,14085,Non-degree
T9303735U,William Mitchell,Engineering,6615,Masters
G7144778K,Jack Bannister,Agricultural,6453,Non-degree
S1578404C,Mark Schwass,Agricultural,6891,PhD
T0754535D,Edward Blevins,Engineering,3501,Post-grad
F1048832P,Salvador Chasse,Engineering,4340,Non-degree
S2046390U,Phil Howerton,Agricultural,14698,Post-grad
S3031404A,Margaret Reidinger,Healthcare,8528,Masters
S8809864B,Melissa Cardenas,Engineering,8647,Post-grad
S8962579W,Shirley Smith,Engineering,11053,Bachelors
T4040168B,Ruby Kallman,Healthcare,7719,Non-degree
T9335230D,Judy Hernandez,Engineering,5608,Masters
F8662772Y,Carole Patterson,Healthcare,11892,Non-degree
T6283557J,Reba Ericson,Agricultural,14019,Non-degree
T5763384Q,Lolita Emily,Healthcare,13628,Non-degree
S4681337X,Robert Rollins,Engineering,5697,Post-grad
T3763693B,Valerie Butler,Engineering,13254,Non-degree
T5945358P,Patricia Purkey,Agricultural,11213,Bachelors
G2268020F,Janine Kissell,Agricultural,6281,Non-degree
G7591613Q,Angelica Russell,Engineering,7457,PhD
G5989183B,Justin Jenkins,Aerospace,12949,Post-grad
F7589047Q,Leta Franklin,Engineering,13589,Bachelors
S4443242X,Rhonda Trevino,Engineering,9946,PhD
S4839600D,Mary Sotto,Agricultural,9704,PhD
G0052461T,Margarita Carter,Aerospace,10286,PhD
T1383974B,Norris Mcgrew,Engineering,13081,PhD
S4169620E,Arthur Galloway,Healthcare,12599,Bachelors
G5621465T,Dorinda Fox,Engineering,11755,Masters
F8728617S,Natalie Williams,Engineering,8880,Masters
T6310578Z,Steven White,Engineering,10716,Post-grad
T2404059O,Gertrude Sliter,Engineering,9095,PhD
G0932116E,Delores Mendonca,Aerospace,8098,Masters
S2441564H,Kevin Sartin,Healthcare,10813,Post-grad
T5893007L,Edmundo Hawley,Agricultural,6581,Post-grad
T7801395U,Johnny Ramos,Agricultural,9434,PhD
G3477392I,Glenda Branch,Agricultural,7344,Bachelors
T7404363C,Eugenia Garner,Agricultural,14725,Post-grad
S3618030D,Kevin Atkins,Healthcare,14244,PhD
G3493734U,Randy Bohrman,Healthcare,5535,Post-grad
F6376789F,Scotty Clark,Engineering,13907,Masters
F4020946S,Monica Prewitt,Agricultural,13871,PhD
T2896050B,Holly Renard,Agricultural,13279,Non-degree
S2707476G,Tina Hardy,Agricultural,5878,Bachelors
F3910026Z,William Arnett,Aerospace,7605,Post-grad
S8690456C,Jennifer Tooze,Aerospace,11248,Bachelors
G8335948V,Richard Kim,Aerospace,3541,Post-grad
T2846768Y,Johnie Gibbons,Healthcare,11816,Masters
G9301001L,Benjamin Vargas,Aerospace,13522,Post-grad
F9944279Y,Cindy Stewart,Engineering,11262,PhD
S1854700L,Jody Yancey,Aerospace,9799,PhD
G0506181N,Myrtle Mcguire,Agricultural,11645,Bachelors
S5480017B,Freda Roberts,Engineering,8412,PhD
S7454525F,Gail Vanbuskirk,Healthcare,11226,Post-grad
G6025527J,Ma Hartley,Agricultural,5399,PhD
F4413991W,Tamika Blossom,Engineering,12792,Bachelors
T3373802I,Jeremy Kaminski,Agricultural,9539,Post-grad
S7688332U,David Snider,Agricultural,10210,Masters
T5726850P,Lauren Kaye,Agricultural,10946,PhD
G7549166B,John Hall,Healthcare,12907,PhD
T9540610M,Thomas Kanady,Engineering,11732,Post-grad
G1915591G,Ellen Perry,Healthcare,8844,PhD
G8141794D,Marion Horton,Engineering,9497,Non-degree
G2996672V,Kristin Reed,Engineering,11362,Masters
G8189488D,Eugene Johns,Aerospace,3120,PhD
G0252434L,Elizabeth Lipps,Agricultural,12890,Bachelors
T3463811V,Gertrude Asato,Agricultural,11414,Bachelors
F2638009E,Michelle Grissom,Aerospace,4602,Masters
S6371374K,August Phillips,Healthcare,10415,Non-degree
T9937617Q,Joseph Valles,Healthcare,14190,Post-grad
T8786539D,Keith Theriault,Aerospace,9361,Non-degree
T7051542C,Michelle Lewis,Healthcare,8836,Post-grad
T6094665J,Elizabeth Prince,Agricultural,4243,Bachelors
S9847702X,Joseph Redwine,Agricultural,10504,Post-grad
F3303091I,William Purvis,Agricultural,4445,Masters
S9764727H,Louis Skinner,Aerospace,6853,Bachelors
S4402782P,Emma Tuck,Healthcare,5931,Bachelors
T8228203V,Vanda Uutela,Aerospace,9976,Post-grad
F1036139O,Lucia Henry,Engineering,10408,Bachelors
T9581175B,John Hoffman,Agricultural,6813,Bachelors
S2259888F,Mary Hall,Aerospace,9301,Non-degree
G8992610Y,Jason Roques,Aerospace,4345,Bachelors
F4559599E,Victoria Morris,Agricultural,13805,Masters
F3875402F,Shirley Mckay,Healthcare,14447,Bachelors
G6308158X,Mary Fields,Agricultural,6075,PhD
S0116860B,Ron Grow,Agricultural,3157,Bachelors
G7567392H,Casandra Parsley,Aerospace,10888,Post-grad
S9301144S,Gordon Hicks,Agricultural,9971,Bachelors
S3572021O,Beth Colucci,Healthcare,7046,PhD
T1265884M,Kenneth Conger,Agricultural,7074,Masters
G6118802P,Aaron Pomeroy,Agricultural,3414,Post-grad
T5377480Z,Betty Bowers,Aerospace,7716,Masters
G2854537Y,Joyce Howard,Healthcare,13529,PhD
T1204212O,Chi Garroutte,Healthcare,6060,Non-degree
F8832606R,Richard Cos,Aerospace,12591,Bachelors
G8889870Q,Kelly Morrison,Healthcare,9811,PhD
G2213625P,Frances Quaranto,Agricultural,7181,Post-grad
F1778740V,Coralee Walko,Engineering,3268,PhD
F5059269B,Patricia Scheidecker,Aerospace,12719,Post-grad
F3770592H,Gwendolyn Marshall,Healthcare,10670,Bachelors
T0310692S,Zachary Enos,Engineering,6512,Bachelors
G6164566N,Sherley Black,Healthcare,8106,PhD
S1063914Y,Dot Blunt,Healthcare,5974,Post-grad
G7463986I,Cheryl Smith,Healthcare,10121,Bachelors
F6148081N,Jose Jacobs,Engineering,3331,PhD
T1857801B,David Lavigne,Agricultural,9126,PhD
T8007513S,Al Feazel,Engineering,8325,Masters
G9486147V,John Clark,Agricultural,12504,Bachelors
G0460128Q,Jonathan Mcconnell,Agricultural,8396,Post-grad
S7090344X,Mabel Nero,Engineering,7144,Post-grad
T6594451M,George Simmons,Healthcare,8663,Bachelors
S5860782Y,Harold Upshaw,Agricultural,11264,PhD
S7674540D,Paula Razor,Aerospace,6773,Bachelors
S1333012G,Mark Profit,Aerospace,12895,PhD
F6499907K,Diana Linquist,Aerospace,5708,Masters
T6655659W,Frank Rivas,Agricultural,6651,Non-degree
G2014623N,Melissa Jenkins,Healthcare,9448,Non-degree
S0020079J,William Sparr,Healthcare,7733,Post-grad
G1022685H,John Harris,Aerospace,9149,Non-degree
G5118998R,Harry Atkinson,Engineering,12189,Non-degree
G2901418I,Darren Phillips,Agricultural,12070,Bachelors
S5512386N,Edward Miller,Engineering,11770,PhD
T1994760A,Patty Deguzman,Engineering,4043,PhD
G9997979A,Douglas Tipton,Aerospace,6429,Non-degree
F8476213N,Robert Bowell,Agricultural,4229,Bachelors
T2544264Z,Andrea Schneider,Healthcare,7296,PhD
T7824357Q,Willie Nash,Agricultural,9483,Post-grad
T6066440O,Vincent Coble,Engineering,14876,Non-degree
T5910688X,Allison Smith,Agricultural,6543,Non-degree
S8856146Y,Jimmy Wagner,Agricultural,6820,Masters
F4969257C,Joseph Blankenship,Aerospace,6474,PhD
T5376566O,Kyle Gonzalez,Aerospace,5581,Post-grad
S1083692L,Ian Christensen,Healthcare,12473,PhD
S9207979N,Sharon Berkley,Agricultural,13554,PhD
F0955945C,Deborah Hirkaler,Healthcare,13105,Non-degree
G8110158Y,Daryl Lloyd,Healthcare,9260,Non-degree
T6032316B,Thomas Dunn,Healthcare,13139,PhD
G0763175F,Nellie Ruzich,Agricultural,7069,Masters
G3986783W,Margaret Wehling,Healthcare,7497,Non-degree
G8997885F,Patricia Podesta,Healthcare,7462,Bachelors
F6182236G,Harry Murry,Engineering,11559,Post-grad
G4032249D,Bonnie Perry,Aerospace,12960,Masters
G1553704G,William Armstrong,Engineering,4001,Bachelors
F9825261V,James Lyman,Healthcare,9583,PhD
F5344644V,Sean Cedillo,Aerospace,10692,Bachelors
S3236305Y,Rita Brown,Aerospace,14042,Bachelors
F7793491L,Patricia Bradley,Healthcare,8710,Masters
G5716436N,David Salley,Agricultural,8000,Post-grad
T9202876Z,Stephen Mccollum,Healthcare,4398,Bachelors
T8182804Y,George Cornett,Healthcare,6746,Bachelors
T6753741V,John Cromwell,Healthcare,12926,Post-grad
S8558563S,Darren Mcclure,Engineering,5938,Masters
F2846225A,Sallie Matthews,Healthcare,13248,Masters
G2071012G,Kate Brodeur,Engineering,3137,PhD
T9476507R,Tony Teasley,Agricultural,12051,Post-grad
S7176235W,Charles Peters,Agricultural,12259,Non-degree
G5382179K,Charles Reiher,Healthcare,9722,PhD
F9305934O,Margaret Toth,Engineering,3948,Masters
T3591182O,Katherine Brooks,Agricultural,12602,Masters
S5802113A,Stephen Menefee,Agricultural,12532,Post-grad
S6351869U,Linda Lau,Engineering,6019,Non-degree
T5578393M,Karen Cox,Agricultural,13650,Non-degree
T7021096B,Donald Childs,Agricultural,13423,PhD
F6615461Q,Wallace Lee,Agricultural,12163,Non-degree
G4521955I,Ramiro Berndt,Aerospace,13109,PhD
F9513868X,George Ouellette,Engineering,6254,Masters
G4209703U,Margaret Miller,Agricultural,9717,Bachelors
S2341214Q,Tonya Dildy,Aerospace,4921,Bachelors
F9074003V,Clarence Bednarz,Healthcare,5343,PhD
G6428878D,Vera Landry,Engineering,14464,PhD
G9781474G,Marie Bryan,Agricultural,14204,PhD
F9826981T,Joanna Reedy,Agricultural,12740,PhD
G5081645O,Elizabeth Gheen,Healthcare,3092,Masters
F2182862O,Kimberly Duncan,Agricultural,13285,Post-grad
F1724881I,Johnny Rose,Aerospace,7586,Post-grad
T3206145I,Michael Henderson,Aerospace,11360,Masters
T3957078H,Thomas Bostrom,Aerospace,6792,Non-degree
S8046938U,Sharon Webb,Healthcare,10598,Bachelors
G6670179O,William Beliveau,Engineering,6438,Bachelors
F2185289Q,Denise Spear,Agricultural,12511,Post-grad
F4788114A,Scott Billiot,Aerospace,8317,Non-degree
F7648844Z,Audrey Johnson,Healthcare,10628,Non-degree
T2394677L,William Williamson,Healthcare,13617,Non-degree
G6171711G,Tonia Leslie,Aerospace,8746,PhD
G9921392T,Trudi Numbers,Agricultural,12300,Post-grad
S8022117W,Karol Silkwood,Engineering,5764,Bachelors
G6667359T,Ruby Finke,Agricultural,4576,Non-degree
S9484088U,Rosemary Smith,Engineering,4179,PhD
S7878030N,Chun Gonzales,Aerospace,4083,Post-grad
T2420915V,Rebecca Sizemore,Agricultural,4482,Masters
T0932617C,Seth Graham,Engineering,8395,Non-degree
F7765057G,Martha Vice,Engineering,4244,Bachelors
T5152673X,Patsy Carter,Engineering,5543,Masters
G1755425B,David Zurasky,Healthcare,10014,PhD
T9078861C,Andrea Cook,Healthcare,13450,Bachelors
G3226463S,Floy Jones,Healthcare,5883,Bachelors
F3620976P,Amanda Meade,Agricultural,10634,Post-grad
F8466182T,Roger Baldwin,Agricultural,8463,Bachelors
F5854743H,Evelyn Castillo,Aerospace,11719,Masters
S3220668E,Diane Carmona,Engineering,11728,Masters
S2528908H,John Fronczak,Healthcare,6947,PhD
T8089661R,Enoch Wright,Engineering,14545,Non-degree
T5850033O,Scott Archila,Aerospace,14433,Post-grad
S6082613E,Philip Scott,Healthcare,5375,Post-grad
S1487198M,Edna Ponds,Aerospace,14253,Post-grad
T9429661P,Kelly Crosby,Aerospace,9742,Post-grad
G5873649T,Roxanne Delorey,Healthcare,6104,Post-grad
S3308207V,Frederick Harvey,Healthcare,10486,Post-grad
G7283445S,Barbara Anderson,Aerospace,8470,Bachelors
T8310668I,Richard Henson,Agricultural,7653,Post-grad
F0316771R,Yolanda Hutchins,Agricultural,12827,Non-degree
G2744685A,Leah Dube,Agricultural,14566,PhD
S4553838R,Anna Kleinpeter,Healthcare,5423,Post-grad
S1217482L,William Campbell,Agricultural,6929,Non-degree
F2391128L,Joseph Santana,Agricultural,11914,Masters
F4459324J,Patty Schmitz,Agricultural,9799,PhD
T2122935X,Bradley Engstrom,Engineering,6786,Masters
T7600734A,Carolyn Kerr,Engineering,11996,PhD
T9621776F,Henry Cobb,Agricultural,13947,Non-degree
G9247428E,Marion Hunter,Aerospace,5213,Post-grad
T1769898L,Ann Engler,Agricultural,14811,Post-grad
S2687164X,Carol Ong,Aerospace,9162,Bachelors
G9968198K,Francisco Scott,Aerospace,14321,Post-grad
F0706236S,Alice Zerbe,Engineering,6988,Bachelors
G4746184R,Justin Hagan,Engineering,12195,PhD
G5917140Z,Sergio Strayhorn,Agricultural,4830,Masters
G3432199O,Vera Jimenez,Engineering,4869,Post-grad
T2644918V,Melissa Kissinger,Aerospace,10698,Masters
F3111777N,Roxanne Watson,Aerospace,6318,Post-grad
G0754811D,Mabel Shields,Aerospace,10136,Masters
S8621123J,Julian Thompson,Agricultural,11787,Bachelors
S0157783J,Shirley Hall,Agricultural,7515,Bachelors
S8592930L,Todd Eugene,Healthcare,12157,Non-degree
S0769509Q,Dawn Floyd,Agricultural,4966,Bachelors
G3242547V,Kendal Breceda,Agricultural,12305,Bachelors
T1444818X,Leslie Farnes,Agricultural,7163,Bachelors
S5145457Y,Rosetta Sturm,Agricultural,5306,Post-grad
T2172176R,Cheryl Mini,Aerospace,4398,Post-grad
G3464757I,Kristin Horne,Agricultural,7593,Bachelors
S8144613Y,Regina Carden,Engineering,11179,Post-grad
T1977729W,Isela Heflin,Engineering,9935,Bachelors
F5577310L,Crystal Valdez,Engineering,9092,Non-degree
G4887737R,Jeremy Walden,Agricultural,4299,Non-degree
S0083164V,Virginia Russell,Agricultural,9769,Post-grad
T9881321X,Kevin Cobb,Agricultural,13883,Masters
T7213193N,Richard Malloy,Agricultural,14563,Bachelors
S0245089U,Rufus Davidson,Agricultural,14984,Post-grad
G1635396P,Richard Shaw,Agricultural,13464,Post-grad
T5224273U,Robin Gregg,Aerospace,12344,Bachelors
S0105806M,Joseph Gutierrez,Healthcare,7427,Bachelors
G1586479H,David Otey,Agricultural,14758,Bachelors
F5948683A,Gregory Keyser,Healthcare,11018,Non-degree
F5466499D,Maria Mehling,Agricultural,8545,Masters
F8197567X,Carla Houser,Agricultural,14560,Bachelors
F7689441P,William Jensen,Engineering,4150,Bachelors
T7871030U,Oscar Edwards,Healthcare,5624,Post-grad
G3551414V,Bernice Mcclellan,Engineering,5804,Masters
S3387042J,Donna Addis,Aerospace,12692,Masters
G2773605U,Roger Kummer,Agricultural,12699,Masters
G3920245Z,Steven Eckert,Aerospace,7302,Bachelors
T8442185I,Ernest Bales,Agricultural,6580,Non-degree
