NRIC,researcher_name,sector,income,degree
T2493527Q,Juan Hoskinson,Engineering,9364,Post-grad
F6138018P,Arnold Benshoof,Aerospace,6853,Bachelors
G0351165A,Ryan Milligan,Agricultural,3668,Bachelors
S2001715K,Randall Marsh,Agricultural,9360,Masters
S5861867O,Nancy Scott,Agricultural,4707,Non-degree
S6066554K,Scott Mccubbin,Aerospace,3555,Non-degree
F3988274N,Sandra Farmer,Healthcare,5319,PhD
G5962111R,Keith Kratzer,Agricultural,5184,Post-grad
S5160963D,Oscar Nguyen,Engineering,3078,Post-grad
F7927776O,Patricia Hughes,Engineering,6535,Masters
G0472061R,Kevin Hurst,Agricultural,4364,Non-degree
G2044974V,Ramon Leday,Agricultural,8087,Bachelors
S0894328T,Daniel Morrison,Engineering,7565,PhD
T2713287C,Bart Marsh,Aerospace,5084,Post-grad
T6051223T,Calvin Rattanasinh,Agricultural,3493,Post-grad
G9859114K,Sharon Portales,Engineering,3641,Masters
T3982629C,Craig Austell,Aerospace,5649,Non-degree
S2009044Y,Tiffany Jones,Aerospace,7203,Bachelors
G5670716O,April Deblase,Engineering,7402,PhD
S5101320M,Arthur Morger,Aerospace,4444,Non-degree
S7004892J,Thomas Lee,Engineering,4823,Masters
F2006603U,Karla Silva,Healthcare,8603,Non-degree
F6582083Z,Rudolf Barrett,Agricultural,6784,Masters
F7732220Q,Ernest Richardson,Engineering,5059,Masters
S8182764I,Curtis Graham,Healthcare,7271,Non-degree
G2834010V,Donald Penton,Aerospace,5869,Post-grad
T3815079K,Marilyn White,Engineering,6569,PhD
T0203057V,Sara Hiller,Agricultural,3694,Bachelors
T6941456I,Johnny Grimes,Agricultural,8478,PhD
S5373546F,David Shank,Healthcare,3647,Masters
F9180733W,Frederick Medlock,Engineering,5820,Masters
G1338428O,William Kight,Engineering,6429,Masters
S2241014G,Dennis Oconner,Healthcare,5261,Masters
S4023566E,Kathy Motley,Aerospace,6607,Non-degree
G3724408C,Philip Brooks,Healthcare,5071,Non-degree
G1382302N,Martha Henry,Engineering,4128,Bachelors
T0644557O,Cathy Abel,Healthcare,3976,Post-grad
F4076149E,Ruben Medina,Healthcare,3205,Bachelors
S3143344F,Luther Salters,Engineering,3634,Masters
S3674362M,William Walker,Healthcare,9000,Non-degree
S0113785R,Angie Estrada,Healthcare,5435,Non-degree
S7998662H,David Dawson,Aerospace,7041,Masters
T5935438L,Norman Martin,Aerospace,4797,Masters
F8115307K,Archie Fichter,Healthcare,7114,PhD
S8877819N,Christopher Mckamey,Engineering,3710,Post-grad
F4790257M,Matthew Gorn,Aerospace,3703,Non-degree
G1471932R,Julie Mendoza,Engineering,3371,Bachelors
F2999458D,Theresa Ewing,Healthcare,3028,Masters
T4691279R,William Massey,Aerospace,3137,Non-degree
G6632621A,Paul Singleton,Engineering,6454,PhD
S0443070Z,Lawrence Pepper,Aerospace,5174,Bachelors
S8392830J,Bobby Adams,Healthcare,7601,Post-grad
S5469940N,Maria Miller,Agricultural,4640,Masters
F6400429L,Marty Miller,Healthcare,5756,Masters
T0347122T,Cynthia Aycock,Healthcare,7283,Masters
F4671198G,Patricia Freeman,Aerospace,6252,Masters
S6200818I,Maria Emerson,Agricultural,6062,Bachelors
F7043247N,Megan Capito,Aerospace,3850,PhD
F7679663S,Michael Wyrick,Healthcare,3955,Masters
F8554625I,James Purser,Engineering,6358,PhD
G8437525S,William Lucero,Engineering,7771,Bachelors
F7785787W,Barbara Hanna,Agricultural,4960,Non-degree
T9804268K,Elizabeth Mclaughlin,Aerospace,3359,Masters
T1192837J,Patricia Fernandez,Aerospace,3106,Masters
T6228250E,David Rose,Aerospace,4441,Post-grad
G8200841E,Daniel Mcroy,Engineering,4271,PhD
S6532197Z,King Horn,Agricultural,3463,Non-degree
F4231064S,Leanne Love,Agricultural,4879,Post-grad
G8831901D,Jack Rase,Healthcare,4250,Non-degree
G1730219V,Robert Anderson,Aerospace,4764,Non-degree
T7947700M,Steve Alsberry,Healthcare,3389,Masters
F3697899J,Vincent Ross,Healthcare,8113,Non-degree
F1971575J,Maureen Guard,Healthcare,5306,Bachelors
F6554815S,Virginia Price,Aerospace,3341,PhD
T5289750C,Jennifer Collins,Agricultural,5646,Post-grad
S2519748Y,Lamont Fenstermacher,Healthcare,3097,Non-degree
G9779911T,Hollis Hunt,Engineering,3502,Post-grad
F0006725H,Shawna Hardy,Aerospace,3988,Non-degree
S8351325I,Lori Banner,Agricultural,6904,PhD
G0349335U,Priscilla Copeland,Agricultural,4080,Masters
F7631378U,Mary Ruddell,Healthcare,8347,Masters
S4804131B,Ralph Rockwell,Aerospace,10484,PhD
T2004451H,Victor Olson,Aerospace,4332,Post-grad
G4562773E,Susan Garcia,Healthcare,11339,Masters
S8136331Y,Edward Adams,Healthcare,3941,Masters
G0543251S,Beryl Garcia,Aerospace,5722,Masters
T4022797P,Josephine Landis,Healthcare,4306,Masters
G9834717X,Carla Carter,Agricultural,4745,Masters
T0574346P,Cherly Hahn,Healthcare,7157,PhD
G3861232F,Steven Corcoran,Healthcare,3637,Bachelors
T0197175H,Odell Moscato,Healthcare,5888,Non-degree
G5458173A,Will Smith,Healthcare,4674,Bachelors
G4474466F,Greg Coates,Aerospace,11796,Bachelors
F4485111J,James Fulmer,Agricultural,3463,Bachelors
T0729371Z,Christine Clark,Agricultural,3206,PhD
F5963990E,Joey James,Aerospace,3873,Bachelors
F9347523Y,Brandon Anderson,Engineering,6508,Non-degree
G3142954U,Eugene Choat,Agricultural,5033,Post-grad
G9262160N,Matthew Jones,Engineering,6968,PhD
T2157049F,Dona Draggoo,Aerospace,11478,Non-degree
G7764769X,Sandra Lawson,Healthcare,6189,Non-degree
T7322857D,Michael Robinson,Healthcare,6793,PhD
F2663612A,Charles Stewart,Aerospace,3772,PhD
G9518168U,Melvin Barraza,Aerospace,8624,Bachelors
G9903903C,Dorothy Perez,Engineering,5128,Non-degree
T1648143U,Paul Harris,Engineering,3867,PhD
F8695195G,Richard Kim,Healthcare,4210,PhD
S5795567C,Robert Medina,Agricultural,3361,Bachelors
S3303211W,William Bass,Engineering,10976,Bachelors
T6464073P,Dean Terry,Agricultural,3141,Masters
T5078158G,Steven Goodwyn,Agricultural,6368,Bachelors
S5128927J,Kenneth Brown,Healthcare,6177,Non-degree
T2618558W,Carlos Freidman,Agricultural,6174,PhD
S0933977Z,Laura Westray,Aerospace,5968,PhD
T8228857Z,Elizabeth Barlow,Agricultural,6242,Post-grad
S2478618A,Philip Blanco,Aerospace,6368,Non-degree
S4908268B,John Rose,Healthcare,8517,Masters
T8605384A,Arnold Wanda,Healthcare,3245,Bachelors
T4068742Y,Debbie Friedman,Healthcare,11069,PhD
T2907617T,Barbara Chavez,Agricultural,4121,PhD
S6642289L,Derek Scott,Aerospace,3427,PhD
F2217150O,Wilbur Cobbins,Healthcare,6948,Masters
S8646855E,Herman Sprung,Engineering,5671,Masters
F5597389N,Kathryn Donis,Engineering,3105,Post-grad
G1245973X,Johnny Naquin,Agricultural,7960,Bachelors
G8947426Z,Judith Hill,Agricultural,3457,Masters
S2927926O,James Burrell,Healthcare,7644,Bachelors
T3543738Y,Patricia Diven,Healthcare,5760,PhD
S3487345K,Lorraine Vanhandel,Aerospace,4645,Bachelors
S3611547A,Deborah Connors,Agricultural,5496,Post-grad
F2809635J,Steve Williams,Agricultural,3574,Bachelors
F7227735R,Ludie Poirier,Agricultural,5092,Non-degree
F8556171G,John Cohen,Aerospace,3538,PhD
F8316939Q,Mary Howard,Healthcare,3218,Non-degree
S9373505K,Ginny Santarpia,Aerospace,6507,PhD
F0208022Z,Charles Martinez,Healthcare,5282,Bachelors
T9219095B,Dwight Clemente,Aerospace,4882,Bachelors
S5096065F,David Scheffel,Agricultural,8847,Post-grad
G1053109Q,Gayle Martinez,Engineering,4041,Bachelors
S1307457I,Ward Nieves,Healthcare,8615,PhD
S1337242K,Renee Prioleau,Engineering,6507,Post-grad
F9765561L,Karen Bennet,Agricultural,5633,Post-grad
T7385563P,Harold Beals,Aerospace,5623,Non-degree
G1752498N,Erin Bryant,Engineering,6399,Bachelors
F6288257X,James Wisniewski,Agricultural,7873,Bachelors
S8434606Y,Kandice Perez,Aerospace,7114,Non-degree
G1092449H,David Chester,Agricultural,5783,Post-grad
F9767119B,Jordan Yu,Agricultural,3353,Bachelors
G3210814E,Deborah Ornelas,Engineering,13972,Post-grad
G9993487I,Sandra Stewart,Aerospace,7443,PhD
T6430484G,Nancy Tagliarini,Healthcare,10281,PhD
G6381446L,Regina Wilson,Agricultural,6111,Masters
G5936175J,Kenneth Batdorf,Engineering,8319,Masters
S0410399D,Timothy Erlewine,Agricultural,9337,Non-degree
F3328630K,Melissa Vail,Healthcare,9337,Non-degree
T8946941X,Karen Veney,Engineering,9968,Post-grad
T2223831O,Edward Andrada,Healthcare,3085,Masters
F1206697R,Nell Rose,Engineering,5098,PhD
T8956999H,Robert Fortune,Agricultural,8367,Masters
T3230957N,Rosetta Delapena,Healthcare,4741,Non-degree
G2583178C,Jack White,Healthcare,3434,Bachelors
S8036938U,Emma Veenstra,Healthcare,7810,Bachelors
T3070716X,Nichole Newsome,Engineering,5050,Post-grad
T6271839S,Virgil Flores,Engineering,6176,PhD
F6766114I,Rory Blecha,Aerospace,7414,Non-degree
T4027329J,Dortha Chalepah,Engineering,4110,Masters
G7530759Z,Anthony Vargas,Healthcare,3550,Bachelors
T9986870E,Simone Clapp,Engineering,5744,PhD
G5978989I,Debra Wenner,Agricultural,3828,Post-grad
T0017512L,Marilyn Lewis,Aerospace,4196,Masters
G0225628D,Leo Mackey,Aerospace,3719,Post-grad
F5474818J,Pamela Hendricks,Engineering,6914,Masters
F4131067Z,Bryan Alvarado,Aerospace,3409,Post-grad
G1546096G,Robert Tosh,Aerospace,9341,Non-degree
T4071533V,Mary Napier,Engineering,8114,Bachelors
T3476043P,Joseph Velasco,Agricultural,3548,Masters
F2052630P,Matthew Holmquist,Aerospace,4533,Non-degree
T9286334K,Bertha Flick,Engineering,9056,Bachelors
T3928577I,Brenda Jones,Engineering,3873,Post-grad
T7236351O,Betty Sexton,Healthcare,4741,Bachelors
G0172498K,Ronald Evans,Healthcare,8680,Bachelors
F0448109O,Samuel Yanes,Healthcare,7120,Post-grad
S1095383U,Carolyn Ivory,Healthcare,3076,Bachelors
S2716083J,Judith Pearson,Engineering,6902,Post-grad
G3269476F,Todd Newman,Agricultural,7678,Masters
S8982062O,Richard Allen,Agricultural,12103,Masters
S3627460W,Richard Poncio,Healthcare,5055,PhD
S7186027O,John Galicia,Healthcare,4669,Post-grad
F8520275E,Elsy Duhon,Healthcare,5240,Post-grad
T2924478I,Freddie Hollis,Agricultural,9010,Masters
T1246406T,Roger Williams,Healthcare,9560,Masters
F1249280Y,Tracy Wilson,Engineering,8468,Non-degree
G6328216S,Michael Froelich,Healthcare,7299,Masters
G3510503C,Robyn Hand,Aerospace,4436,Non-degree
T4650591K,Lydia Bresnahan,Engineering,8256,Bachelors
G6068246V,William Westley,Engineering,3807,Bachelors
F7028829P,Valerie Rusher,Agricultural,7455,Non-degree
T3907707F,Clara Ramirez,Agricultural,3470,Masters
T5149481L,John Johnson,Agricultural,3534,PhD
T1952307N,Diana Poole,Healthcare,7583,Post-grad
T4681447F,Allison Aaberg,Engineering,9000,Masters
T5318192C,Lisa Haworth,Engineering,3190,Post-grad
G1818782H,Ida Weiskopf,Agricultural,3179,Post-grad
G4001978M,Dolly Olague,Agricultural,3629,Non-degree
F8206555U,Max Sawyer,Aerospace,3162,Bachelors
S4479833Z,Martin Gomez,Healthcare,11598,Bachelors
T5083682Y,Mary Sam,Agricultural,5491,Non-degree
F4523576P,Mark Steckler,Healthcare,4319,Non-degree
T7160775B,Peggy Citron,Engineering,4384,Non-degree
F6340685P,Sergio Wilson,Aerospace,6923,Masters
F6172014M,Ashley Moreno,Aerospace,3684,Non-degree
T4383633Y,Lucy Donnelly,Healthcare,3508,Bachelors
T0197434T,Sallie Rice,Aerospace,6986,Non-degree
S4495851H,Marsha Calo,Agricultural,3099,Non-degree
S0958559E,Christopher Vanderford,Engineering,3260,Post-grad
F9187069Z,Enrique Davis,Engineering,7259,PhD
S2177462G,Sherry Sullivan,Engineering,3340,Bachelors
F4617256Z,Daisey Williamson,Aerospace,4250,PhD
T8309513T,Bella Hampshire,Healthcare,5974,Post-grad
S0955732V,Frank Nisbett,Aerospace,3793,PhD
F1956358H,Rachel Miles,Agricultural,9039,Bachelors
T7267469O,Roger Laughary,Agricultural,6873,Bachelors
F5360940C,April Forsyth,Aerospace,4098,Non-degree
G0812634L,Robert Stanton,Engineering,6548,Masters
F2206805O,Janet Mattingly,Agricultural,3940,Post-grad
S1909022E,Pat Senn,Agricultural,5535,Non-degree
G5501189L,Lavern Farrey,Agricultural,5744,Masters
F2393823Z,Clarence Smith,Aerospace,3173,Masters
T0784293L,Kyla Speakman,Healthcare,6302,Non-degree
G1386917E,Carrie Farinas,Aerospace,8261,Masters
F9726908O,Vickey Hopkins,Agricultural,6403,Post-grad
T2333678W,Maricela Tindell,Aerospace,8175,PhD
S0882193H,Cody Murphy,Aerospace,5492,Masters
S6216857Q,Mark Lira,Engineering,7947,PhD
S2412611C,Robin Terrell,Aerospace,5619,Masters
S8008812M,Herman Morris,Agricultural,7891,PhD
S8712383T,Sun Lopez,Aerospace,4426,Masters
F2356616U,Jonathan Jones,Aerospace,3258,PhD
F6254317X,Elaine Willis,Healthcare,3229,Non-degree
T7528471E,Henry Scott,Engineering,8013,Bachelors
F8756672P,Suzanne Graham,Agricultural,4400,Post-grad
T7901023U,Alana Munden,Healthcare,4574,PhD
G2949045C,Denise Slover,Aerospace,3574,PhD
G0551255H,Anna Carter,Engineering,3188,Masters
T0790077D,Helen Perron,Agricultural,3038,PhD
G7551844M,Isiah Morgan,Aerospace,9922,Masters
T1974709L,Kim Swatzell,Healthcare,4239,Non-degree
T6705104L,Jean Hawkins,Aerospace,3782,PhD
G6327248G,Joyce Tomlinson,Healthcare,5468,PhD
S8987913V,James Records,Engineering,7660,Post-grad
T8342789T,Tony Mayhew,Aerospace,3667,Masters
F8279407J,Micheal Ortiz,Agricultural,4348,Post-grad
T7025721H,James Luna,Healthcare,5321,Bachelors
G3724908O,Bill Campbell,Engineering,4365,Non-degree
G8373113Q,Keith Yu,Healthcare,9093,Non-degree
G9235054K,Meredith Cochrane,Aerospace,3245,PhD
T1036744F,Richard Mcclung,Healthcare,6325,Post-grad
S2563256D,Jesse Bonilla,Healthcare,4048,Bachelors
F8351694V,Eduardo Brown,Engineering,4668,Bachelors
F8998292F,Timothy Rodriguez,Agricultural,3392,Masters
F5409691M,Ana Wools,Aerospace,3067,PhD
F7452356I,Alvin Davis,Healthcare,3228,PhD
S6490340Z,Beverly Ramirez,Healthcare,4654,Bachelors
F7744847X,Glen Swineford,Aerospace,3077,Masters
T3150900J,Janette Gaylord,Engineering,4067,PhD
T4810027E,Gerald Anderson,Aerospace,7459,Non-degree
F1004673T,Sonia Hammett,Healthcare,8205,Bachelors
G0634404Y,Joshua Pena,Engineering,6983,Post-grad
G6326549I,Bryan Pifer,Aerospace,9840,Non-degree
S8945757G,Ebony Richert,Agricultural,8630,Masters
G7138907W,Na Rodriguez,Aerospace,4373,PhD
G4245805U,Darcy Kilgore,Engineering,3496,Non-degree
F4805454D,Bernice Pittman,Aerospace,6565,Post-grad
F4772520J,Agnes Pendergrass,Healthcare,5001,Post-grad
G8008672B,Delores Stemp,Engineering,3702,Bachelors
F9306179N,Frank Mcdaniel,Engineering,4918,Bachelors
T0229605G,Martha Donahoe,Agricultural,4721,Bachelors
T6974641W,Pam Smith,Agricultural,5204,PhD
T0670237W,Tamara Behrens,Engineering,4392,Bachelors
G8241910R,Lionel Chapman,Healthcare,3094,Masters
F9667994H,Lena Shilkuski,Engineering,11002,PhD
F6130833G,Thomas Hall,Agricultural,4956,Post-grad
F8814659O,Rebecca Ching,Engineering,7457,Masters
T1700209G,Candice Carolin,Aerospace,9525,PhD
G3406546X,Cindy Gutierrez,Healthcare,4852,Bachelors
F1014957V,Mark Queen,Aerospace,3446,Bachelors
S2965462U,Margaret Williams,Agricultural,4533,Non-degree
G1359617M,Michael Andrews,Aerospace,4431,Masters
F4463928A,Phyllis Bignall,Agricultural,3510,Masters
F6201872O,James Westervelt,Engineering,5419,Masters
S0043057Z,Jonathan Blanc,Aerospace,7077,Masters
T2734473C,Christie Cole,Aerospace,6317,Bachelors
G5259201P,Janet Whitley,Agricultural,11590,Bachelors
G5775340Y,Patricia Castillo,Engineering,14272,Non-degree
G7531923Q,Patricia Martin,Engineering,8165,Post-grad
S4143269J,Phillip Spangle,Engineering,3471,Bachelors
G1786691A,James Sutton,Engineering,3545,Masters
S9944118T,Michael Bernstein,Aerospace,8202,Non-degree
T1918288R,Edna Weikel,Aerospace,8188,Post-grad
F7093780U,Amy Kimmes,Agricultural,6890,Non-degree
S3508292T,Angelo Stone,Engineering,7221,Non-degree
T7411213Q,Anthony Dewitt,Aerospace,3845,PhD
G2417033G,Richard Godoy,Engineering,7632,PhD
S8640223A,Deloise Florez,Aerospace,8359,Masters
G3467480C,Ted Franco,Aerospace,7562,Masters
F5981082B,Virginia Faulkner,Agricultural,7462,Bachelors
G9890879I,Alicia Alfaro,Engineering,6755,Bachelors
S2463039V,Daisy Talamo,Agricultural,3787,Masters
T6782939B,Ana Weekley,Engineering,5750,Masters
F3534784D,Samuel Cummings,Agricultural,9983,PhD
S6281887C,Stephanie Delaney,Agricultural,4748,Post-grad
T7735634T,Ione Centeno,Aerospace,3566,Bachelors
S8388826W,Karen Laird,Agricultural,3952,Bachelors
F9838582F,Debra Rojas,Healthcare,5736,Masters
G2978809D,Patricia Champion,Engineering,4428,Non-degree
F0726049X,Rebecca Toms,Healthcare,5087,Non-degree
F6633119P,James Woolever,Engineering,3725,Post-grad
G2760878A,Ross Carr,Aerospace,4091,Masters
F6725774F,Allison Caples,Aerospace,5603,Bachelors
G1940768S,Matthew Becker,Agricultural,5926,Post-grad
F5560984D,Page Schaible,Engineering,4267,PhD
S8577919X,Roger King,Aerospace,5273,Bachelors
F0744172H,Charles Thompson,Healthcare,5092,Post-grad
T8934689T,Shayne Aguinaldo,Engineering,3914,Non-degree
T8401346J,Clifford Goad,Engineering,6996,Non-degree
T0204467X,Mary King,Agricultural,5663,Masters
S0007961Y,Mary Lindstrom,Engineering,4072,Post-grad
G1467356K,Katherine Hill,Aerospace,3065,PhD
T8248564E,Sam Presnell,Agricultural,5680,Bachelors
G0178785Z,Ali Palmer,Aerospace,5714,Non-degree
S3359243Z,John Burns,Agricultural,6299,Masters
G7537391I,Tina Smith,Healthcare,7407,PhD
T9637735A,William Dombroski,Engineering,7464,Masters
G4448108N,Joaquin Brown,Engineering,9030,Non-degree
G9228981G,Jeffrey Merritt,Aerospace,7661,Masters
G6594046G,Wilbur Lake,Agricultural,7232,PhD
F2649100H,Anthony Nailor,Healthcare,11867,Non-degree
T9941574F,Ricky Hernandez,Agricultural,3013,Non-degree
S2004682D,Alfredo Prior,Healthcare,7558,Post-grad
G4924040G,Dennis Russell,Agricultural,5734,Non-degree
S6127661H,Judith Perez,Aerospace,4965,Post-grad
F8107657V,William Pinney,Agricultural,3484,PhD
S5577521K,Celia Whipps,Healthcare,4641,PhD
S4278756K,Lisa Larkin,Agricultural,10070,Bachelors
G2442894U,Lois Vaillancourt,Aerospace,6398,PhD
S3067830G,Dominique Holley,Agricultural,3340,Non-degree
S5072765U,Margaret Conklin,Agricultural,6932,Masters
S5413868K,Judy Miller,Healthcare,3287,Post-grad
G1311038D,Lisa Jaquet,Aerospace,3606,Non-degree
S4171469D,Darlene Tarnoff,Agricultural,5271,Non-degree
S3109175G,Jessica Vargason,Agricultural,4597,Post-grad
T5459902H,Mary Shah,Aerospace,5669,Masters
T9066349U,Robert Levar,Agricultural,9065,PhD
G8445183Y,Elsie King,Engineering,7416,PhD
S9620357E,Joan Mcconnell,Agricultural,4526,Post-grad
T8498068J,Karla Abney,Agricultural,9701,Post-grad
T6702681T,Clara Johnson,Engineering,6508,Masters
S5774927I,Harold Behrens,Aerospace,4871,Post-grad
F7491516R,Teresa Yarborough,Engineering,8206,Post-grad
T5832027K,Doreatha Kisner,Engineering,9070,Non-degree
S3532621V,Michele Young,Healthcare,4358,Masters
F8546489R,Randall Gergen,Agricultural,11127,Bachelors
F9567254A,Daniel Defenbaugh,Engineering,5970,Masters
S5723424K,Carol Murphy,Agricultural,7523,Masters
T3662758I,Tonia Hazel,Agricultural,6489,Post-grad
S2975986T,Debra Foster,Aerospace,4605,Post-grad
T8263072W,Carolyn Rabenold,Engineering,4602,Non-degree
F2709897E,Lacey Pierce,Engineering,4528,PhD
G0134871J,Coretta Waldeck,Healthcare,7257,Non-degree
G1648539Y,Paul Wilson,Healthcare,11695,Bachelors
G8340615D,Linda Oneal,Agricultural,8207,Masters
S1626714Q,April Dickson,Agricultural,6287,Non-degree
T6947851P,Ronald Baudino,Agricultural,4778,Bachelors
T8598482N,Robert Forget,Healthcare,7672,Masters
S1397015E,Phillip Jones,Healthcare,6219,Post-grad
F1427825D,Raymond Brewer,Healthcare,3628,Masters
G1095619T,Gertrude Paul,Agricultural,11118,Masters
F6590587G,Kelly Greenberg,Agricultural,9362,Non-degree
S0603883I,Blaine Hartman,Agricultural,14024,Bachelors
T4081261W,Thomas Sheffer,Aerospace,3909,Bachelors
F8424889V,Leo Bird,Agricultural,10022,Non-degree
T0731511O,Manuela Noble,Healthcare,6649,Bachelors
G2604867H,Ryan Bove,Agricultural,6765,Post-grad
F3378305U,Deborah Edmonds,Engineering,3392,Masters
G2695718H,Mark Ringel,Agricultural,3480,PhD
S2266959Z,Charlotte Maurer,Agricultural,6660,Non-degree
F3892197Z,Bertha Morris,Aerospace,6476,Non-degree
F9965177Y,Steve Pel,Engineering,11673,Non-degree
G2497230R,Haywood Barnes,Aerospace,4032,PhD
G1122181D,Ashley January,Healthcare,3758,Non-degree
T7744243F,Evelyn Roberts,Engineering,9181,Non-degree
F3595505M,Sarah Williams,Aerospace,5031,Non-degree
F8940793I,Carrie Campbell,Engineering,3923,Non-degree
F3198596O,Amanda Andrews,Engineering,5389,Bachelors
S1535561Q,Lisette Jarvis,Engineering,3508,PhD
S9086524L,Joseph Johnson,Agricultural,3412,Masters
G5475871O,Gilbert Flanagan,Agricultural,8645,Non-degree
S8570489B,Anna Brown,Aerospace,6314,Masters
S2455275S,Michelle Willis,Engineering,3648,PhD
G2485519R,Kenneth Ryerson,Healthcare,4242,PhD
G6849706S,Stacey Whitmore,Engineering,8434,Non-degree
F2748407P,Jason Shaw,Agricultural,4432,Post-grad
T1988545E,Sandra Lowery,Engineering,3152,Non-degree
G1589926R,Bernardo Sherman,Healthcare,7034,Non-degree
F1099009R,Edward Diaz,Healthcare,11073,Bachelors
T8476138R,Glen Wood,Aerospace,4548,Bachelors
T3820221S,Steve Carson,Agricultural,6219,Masters
F2606262P,Anna Dingell,Aerospace,6528,PhD
G9644446L,Brenda Costa,Agricultural,3348,Non-degree
F5270895F,Charles Wilson,Aerospace,8714,PhD
F6758158L,Lawrence Deponte,Healthcare,6235,PhD
G1021816W,Alice Cartwright,Agricultural,5695,Post-grad
S2810550H,John Sullivan,Aerospace,5055,Non-degree
T6969459Y,Gladys Stanton,Engineering,3684,Non-degree
F8595675O,Denise Davis,Engineering,8960,Non-degree
F5837980X,Michael Campbell,Engineering,6509,Bachelors
F9824814S,Stephen Dougherty,Agricultural,8210,Non-degree
G6021504X,Katherine Galloway,Aerospace,5192,Post-grad
S6291919R,Eric Soto,Healthcare,7830,Masters
G6625995P,Richard Williams,Agricultural,4146,Post-grad
S7355428S,Thomas Audette,Agricultural,3278,Bachelors
S4663932N,Mary Smith,Agricultural,4462,Non-degree
G8242942Q,Maria Butterworth,Agricultural,7669,Non-degree
G0205203J,Graciela Francis,Engineering,5388,Non-degree
F7193085N,Emerson Cox,Aerospace,5319,Post-grad
F7270670W,Michael Giordano,Healthcare,6078,Non-degree
F8851446Z,Karen Jackson,Agricultural,4967,Non-degree
T8753379U,Rebecca Rand,Agricultural,8056,Post-grad
F6506767B,Lori Head,Engineering,6423,Post-grad
F7123790I,Debra Thompson,Engineering,5522,PhD
G0080527Z,Stephanie Juba,Healthcare,5269,Non-degree
S4041830M,Daniel Benedict,Agricultural,11591,PhD
G6079487H,Yvonne Phillips,Agricultural,8170,Bachelors
G1247790M,Robert Burns,Engineering,5639,Non-degree
F4721757E,Don Rawe,Engineering,6179,PhD
T6780808O,Marilyn Heaps,Engineering,8026,Non-degree
G9314520O,Irene Roberson,Healthcare,3142,Post-grad
T7939721K,Sandy Hegarty,Aerospace,3153,PhD
F0245862J,Gail Garcia,Aerospace,6466,Non-degree
F6481310I,Muriel Xie,Aerospace,6564,PhD
T5230379J,Jim Williams,Aerospace,10108,Masters
G9265024W,Violet Gilbertson,Healthcare,3564,Masters
F7895199W,Erwin Cook,Agricultural,4345,PhD
F7806874E,Helen Brown,Aerospace,6940,Non-degree
F9993809D,Henry Dees,Agricultural,8202,PhD
F1018676T,Betty Brewster,Agricultural,4004,Post-grad
F6157674J,Barbara Leggio,Aerospace,6825,Post-grad
T3565172T,Aaron Cardimino,Engineering,3254,Masters
S6749221L,Sharon Santiago,Aerospace,3474,PhD
T4082992D,Norman Hyzer,Healthcare,10618,Bachelors
S6430756F,Dorothy Charon,Aerospace,3290,Post-grad
G4431160B,Christopher Kimbrell,Healthcare,10107,PhD
