NRIC,researcher_name,sector,income,degree
G3708786M,Ann Turner,Healthcare,3337,Bachelors
G3275739Y,Patricia Champion,Healthcare,4795,Bachelors
T6987169C,Barry Jauregui,Healthcare,8648,PhD
G1486665O,Lee Cox,Agricultural,3947,Masters
F8573140L,Juanita Goodrow,Engineering,5282,Non-degree
S9630942L,Mark Sheppard,Healthcare,11514,PhD
F2685918J,Mary Lang,Agricultural,4166,Post-grad
G7648713V,Beverly Helmick,Engineering,4014,PhD
S0552577H,George Ridley,Aerospace,9471,PhD
T0713109Y,Brent Olson,Aerospace,9227,Masters
G9547890O,Andrea Hoffman,Engineering,7676,PhD
T9067855Y,Jesse Hughes,Engineering,7402,Masters
S1241846U,Ronald Guillen,Agricultural,8023,Post-grad
S6284690N,Peggy Mccleave,Aerospace,7715,Masters
F1000284L,Elizabeth Perez,Agricultural,3712,Bachelors
G1213328Z,Shirley Haga,Agricultural,6421,Bachelors
T9974350K,Rena Birdsong,Agricultural,4866,Post-grad
F5621035Z,Peggy Poormon,Engineering,3709,Non-degree
G9950578S,Maria Rutherford,Aerospace,5145,Bachelors
G4382159X,Cherie Elliott,Aerospace,4760,PhD
G8381919I,Walter Ontiveros,Agricultural,4683,Masters
S5030926Z,Madeline Strickland,Healthcare,6521,Masters
F6898646W,Stephanie Jackman,Engineering,4860,Post-grad
F6527986X,Michael Davis,Healthcare,4726,Bachelors
T8609213H,Mark Padron,Agricultural,7828,PhD
F2032337X,James Smith,Agricultural,5306,Bachelors
F2096449S,Jason Sills,Engineering,4281,Masters
G7370410M,Helen Davis,Aerospace,10334,PhD
S9884256O,Erika Clinton,Agricultural,8489,Non-degree
S9364426L,Robert Cox,Engineering,3027,Bachelors
T3739415Q,Lawrence Millard,Healthcare,10689,PhD
T9195387N,Chad Weikel,Healthcare,5516,PhD
F6011025V,William Murphy,Agricultural,9402,Bachelors
T1231000L,Toby Bostwick,Engineering,4226,Post-grad
T5148767W,Patricia Parrish,Healthcare,5483,PhD
G9263392V,Herman Emery,Agricultural,10182,Masters
T0885074H,Chelsea Walsh,Engineering,5309,Masters
F6116611O,James Batts,Aerospace,6287,Bachelors
S9137852T,Temple Taylor,Engineering,3104,Masters
F1591526F,William Fisher,Engineering,6369,PhD
F4976516S,Eryn Lewis,Aerospace,3279,Post-grad
G7889534O,Laurie Smith,Healthcare,4634,Non-degree
F8077704X,Tameka Downey,Healthcare,6153,Masters
F2073103Z,Robert Simpson,Aerospace,3665,Post-grad
T2812226Q,Marguerite Patton,Healthcare,4542,PhD
F3654568C,Mary Hunter,Agricultural,9132,Masters
T3522865Z,James Coffey,Agricultural,4152,Bachelors
G4061175Z,John Torres,Engineering,3301,Masters
S2852512X,Stuart Williams,Engineering,8665,Masters
F0057851R,Sally Vargas,Healthcare,3015,Masters
G3511461U,Marjorie Valentino,Engineering,4486,Post-grad
F4463118S,Julio Maiden,Agricultural,7547,Bachelors
G3830580L,Kareem Rushford,Healthcare,3757,PhD
T7525253I,Joey Siqueiros,Engineering,6801,Post-grad
T5470887J,Cheryl Watson,Agricultural,3684,Bachelors
G5087556O,Dennis Moisan,Aerospace,4044,Masters
G4720231X,Angela Camp,Agricultural,5617,Bachelors
G9063794M,Cynthia Jorgensen,Agricultural,10524,Post-grad
G6748197I,Richard Lennon,Engineering,11101,Non-degree
G6541533G,Lois Hedrick,Agricultural,9030,PhD
G0047576T,Marco Jones,Agricultural,5638,Non-degree
G6008636X,Patrick Tague,Aerospace,3101,PhD
F0458350R,Martin Hamel,Healthcare,5567,Masters
T2281061Y,Larry Littleton,Engineering,4130,PhD
T6700016I,Susan Mcmenamy,Agricultural,4649,Bachelors
T3415858F,Ruby Jones,Engineering,5979,Bachelors
G4868428H,Rufina Lee,Aerospace,6920,PhD
S0316427K,Germaine Riley,Aerospace,7900,Non-degree
T0221266R,Jordon Acree,Agricultural,7261,Bachelors
T9487485J,Richard Steele,Engineering,3789,Masters
F2721310S,Nicholas Vargas,Aerospace,8992,Masters
T4429986V,Yolanda Spencer,Aerospace,4448,PhD
F2979281W,Serina Meissner,Engineering,3423,PhD
G9287496O,Rae Fitzgerald,Healthcare,3420,Post-grad
G1310916P,James Saunders,Agricultural,6540,Non-degree
S9033744X,Patti Smith,Healthcare,7659,Non-degree
S2567312K,Stephen Lambrecht,Aerospace,8330,Non-degree
T8621175Q,Andrew Borjas,Agricultural,6467,Bachelors
T7806703K,Dorothy Sanders,Aerospace,3600,Bachelors
S1151092N,Guadalupe Edwards,Aerospace,7032,PhD
S5104754A,Molly Wayne,Healthcare,3649,Bachelors
T2703799H,Wendy Fryar,Aerospace,3060,Post-grad
G8301193X,Chad Owens,Agricultural,4519,Masters
S8466455U,Marion Stinson,Aerospace,3895,Post-grad
G0002906S,Wanda Connors,Aerospace,6220,Bachelors
T5985155I,Stephanie Patry,Engineering,4240,Non-degree
T1067908T,Kevin Howell,Agricultural,3594,Bachelors
S9132426T,Joanne Eckard,Healthcare,7351,Masters
T5291033E,Tameka Gunn,Agricultural,10435,PhD
G5792863P,Teddy Schwarz,Healthcare,8288,Masters
S8483889P,Helen Hughes,Aerospace,8783,Non-degree
T5316583K,Rachel Kron,Aerospace,7339,Non-degree
T7047905L,Chris Stillwagon,Healthcare,3992,Masters
F6468374F,Joyce Worley,Healthcare,3756,Bachelors
T5698694W,Barbara Hoyman,Engineering,8778,Masters
F8660021Z,James Morris,Healthcare,3790,Non-degree
T3243872U,Irene Buettner,Aerospace,7691,Non-degree
F6847330K,Conrad Berg,Aerospace,6081,Bachelors
T2852401T,Miriam Davenport,Healthcare,4562,Masters
F2641210R,Maria Clester,Healthcare,6386,Masters
G9295020E,John Bryan,Agricultural,7928,Masters
F8909644Z,Margaret Vogel,Healthcare,3570,Bachelors
G6711535C,Alexander Roane,Aerospace,5833,Non-degree
T1752342H,Rose Swales,Agricultural,3000,Post-grad
F2540953J,Leslie Hatley,Healthcare,3015,Non-degree
S9955753X,Emma Buckley,Agricultural,4033,Masters
G6265193V,James Williams,Engineering,7021,Post-grad
T3692387P,Addie Farnham,Healthcare,3286,Masters
G3524282M,Lester Corke,Healthcare,6161,PhD
G7258512D,Gregory Lefort,Aerospace,4047,PhD
G5647259M,Eve Kottke,Engineering,3586,PhD
S6717538L,Elizabeth Whitcher,Healthcare,3746,Post-grad
S0934527J,Rufus Klug,Agricultural,5946,Post-grad
F6933581M,Suzanne Mcnamara,Aerospace,6322,PhD
F2823585H,Myles Andrews,Engineering,4568,Masters
F3400387C,Harold Mckemie,Healthcare,8311,Bachelors
S0364873T,Steve Froneberger,Agricultural,4729,Post-grad
S6602557V,Mike Davis,Engineering,3004,Bachelors
T9188419Y,Michelle Martin,Aerospace,8993,Non-degree
T0973143B,Tami Mcdaniels,Engineering,4060,Post-grad
S4084287D,Susan Grizzel,Engineering,3678,Bachelors
S1431172C,Verna Villanvera,Agricultural,5292,Bachelors
S3184804F,Brenda Rippy,Engineering,3702,PhD
S3804922K,Heather Daniel,Engineering,4073,Bachelors
G0250965Y,Gladys Wiltberger,Engineering,10920,Non-degree
F7720385R,Barbara Burch,Healthcare,5969,Masters
T1328990R,Margaret Martinez,Healthcare,4291,Bachelors
T8001152R,Victor Box,Engineering,7465,Bachelors
S5476173D,Kevin Coursey,Aerospace,5628,Bachelors
G3326309W,Donald Alessi,Aerospace,3358,Masters
F3688402D,Eric Pierce,Engineering,5456,Post-grad
T1802201C,Connie Shaw,Engineering,3776,Masters
G9410742E,David Ritzman,Healthcare,5767,Masters
G6469194O,Mary Daniels,Aerospace,3261,Bachelors
F0569376R,Robert Donald,Healthcare,3275,Post-grad
T0407904M,Carol Curry,Aerospace,5989,Non-degree
S7550123E,Arlene Hellinger,Engineering,7919,Bachelors
S6217385Z,Bethany Evans,Healthcare,3433,Bachelors
F2939232J,Karen Ely,Agricultural,12101,Post-grad
T7440253H,Carla Weber,Aerospace,6350,Non-degree
F5290313E,Pamela Mills,Agricultural,3205,Post-grad
G3926369N,Lillian David,Aerospace,4310,Non-degree
F4363031H,Crystal Mojica,Agricultural,6959,Bachelors
G3407842T,Brenda Specht,Engineering,3467,Bachelors
F9185665C,Margaret Eckhardt,Agricultural,7126,Bachelors
F7196898R,Kitty Inman,Engineering,13233,Non-degree
G1616459R,James Kiser,Healthcare,5245,Masters
F1618013D,Jason Dathe,Engineering,3984,Post-grad
T2000341X,Judith Sullinger,Engineering,10081,PhD
T0873521I,Vicki Montgomery,Aerospace,3092,Bachelors
T3240357E,Kyle Haggins,Engineering,8635,Post-grad
G2732446U,Aaron Huff,Agricultural,4240,Bachelors
S7665364Z,Asha Gaska,Aerospace,10625,Masters
T3742705F,Danielle Smith,Engineering,5348,PhD
